Failure Name,NGA_Link,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
ab7fc1a5,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/ab7fc1a5-5384-4282-a09b-dc3e14fb6023,ba05wvaw0241,PreBoot,,DefaultFlowBasicTest,ab7fc1a5-5384-4282-a09b-dc3e14fb6023,NA,,[]
576da409,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/576da409-1d8c-45d1-bd2a-f5103a465152,ba05wvaw0235,RebootStation,,DefaultFlowBasicTest,576da409-1d8c-45d1-bd2a-f5103a465152,NA,,[]
5cfae6c2,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/5cfae6c2-8e32-47dc-823d-7423fa395d8c,ba05wvaw0289,PreBoot,,DefaultFlowBasicTest,5cfae6c2-8e32-47dc-823d-7423fa395d8c,NA,,[]
1561ad13,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/1561ad13-f844-4d87-93cc-8b24ecba945e,ba05wvaw0290,PreBoot,,DefaultFlowBasicTest,1561ad13-f844-4d87-93cc-8b24ecba945e,NA,,[]
7d459944,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/7d459944-449f-4b03-8918-4e5e2a79d5a6,ba05wvaw0298,PreBoot,,DefaultFlowBasicTest,7d459944-449f-4b03-8918-4e5e2a79d5a6,NA,,[]
1b2c88dd,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/1b2c88dd-0bca-4d2d-8af3-d1aef1292fc5,ba05wvaw0270,PreBoot,,DefaultFlowBasicTest,1b2c88dd-0bca-4d2d-8af3-d1aef1292fc5,NA,,[]
a3d1ef80,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/a3d1ef80-b8cf-4b25-b90f-4069c45d5271,ba05wvaw0288,PreBoot,,DefaultFlowBasicTest,a3d1ef80-b8cf-4b25-b90f-4069c45d5271,NA,,[]
a53b3f8b,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/a53b3f8b-b2c9-44d9-bca4-7c5cc9c8ac2f,ba05wvaw0219,PreBoot,,DefaultFlowBasicTest,a53b3f8b-b2c9-44d9-bca4-7c5cc9c8ac2f,NA,,[]
8ffd3339,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/8ffd3339-2b7c-4045-873e-cd84c52f0d3a,ba05wvaw0241,PreBoot,,DefaultFlowBasicTest,8ffd3339-2b7c-4045-873e-cd84c52f0d3a,NA,,[]
e90f9a58,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/e90f9a58-af85-4860-b647-8772721fae95,ba05wvaw0244,PostTest,0c7ffec7-df1b-42f8-bb02-17631042e32a,CI_GNR_D_DF,e90f9a58-af85-4860-b647-8772721fae95,NA,https://axonsv.app.intel.com/apps/record-viewer/0c7ffec7-df1b-42f8-bb02-17631042e32a,"['HW.CORR', 'HW.ERR', 'HW.CFG.ERR', 'HW']"
